sample_id,time,label,robot_sensor
sample_001,0,surface_state_a,-0.060775475
sample_001,1,surface_state_a,-0.34439436
sample_001,2,surface_state_a,1.9245567
sample_001,3,surface_state_a,3.62627
sample_001,4,surface_state_a,1.9245567
sample_001,5,surface_state_a,0.50646229
sample_001,6,surface_state_a,-0.62801324
sample_001,7,surface_state_a,-1.195251
sample_001,8,surface_state_a,-0.91163212
sample_001,9,surface_state_a,0.22284341
sample_001,10,surface_state_a,1.3573189
sample_001,11,surface_state_a,0.50646229
sample_001,12,surface_state_a,-1.195251
sample_001,13,surface_state_a,-2.3297265
sample_001,14,surface_state_a,-2.0461076
sample_001,15,surface_state_a,-0.91163212
sample_001,16,surface_state_a,-0.34439436
sample_001,17,surface_state_a,-0.34439436
sample_001,18,surface_state_a,-0.91163212
sample_001,19,surface_state_a,-0.91163212
sample_001,20,surface_state_a,-0.34439436
sample_001,21,surface_state_a,0.22284341
sample_001,22,surface_state_a,0.22284341
sample_001,23,surface_state_a,0.50646229
sample_001,24,surface_state_a,0.79008117
sample_001,25,surface_state_a,0.79008117
sample_001,26,surface_state_a,0.79008117
sample_001,27,surface_state_a,0.79008117
sample_001,28,surface_state_a,0.79008117
sample_001,29,surface_state_a,0.79008117
sample_001,30,surface_state_a,1.0737001
sample_001,31,surface_state_a,0.79008117
sample_001,32,surface_state_a,0.50646229
sample_001,33,surface_state_a,0.22284341
sample_001,34,surface_state_a,0.22284341
sample_001,35,surface_state_a,0.22284341
sample_001,36,surface_state_a,0.22284341
sample_001,37,surface_state_a,-0.060775475
sample_001,38,surface_state_a,0.79008117
sample_001,39,surface_state_a,1.0737001
sample_001,40,surface_state_a,0.79008117
sample_001,41,surface_state_a,0.50646229
sample_001,42,surface_state_a,0.22284341
sample_001,43,surface_state_a,0.22284341
sample_001,44,surface_state_a,-0.34439436
sample_001,45,surface_state_a,-1.195251
sample_001,46,surface_state_a,-2.0461076
sample_001,47,surface_state_a,-1.4788699
sample_001,48,surface_state_a,-0.34439436
sample_001,49,surface_state_a,0.50646229
sample_001,50,surface_state_a,0.22284341
sample_001,51,surface_state_a,-1.195251
sample_001,52,surface_state_a,-2.0461076
sample_001,53,surface_state_a,-1.7624888
sample_001,54,surface_state_a,-1.195251
sample_001,55,surface_state_a,-0.34439436
sample_001,56,surface_state_a,0.50646229
sample_001,57,surface_state_a,0.79008117
sample_001,58,surface_state_a,0.50646229
sample_001,59,surface_state_a,0.22284341
sample_001,60,surface_state_a,-0.060775475
sample_001,61,surface_state_a,-0.060775475
sample_001,62,surface_state_a,-0.060775475
sample_001,63,surface_state_a,-0.34439436
sample_001,64,surface_state_a,-0.34439436
sample_001,65,surface_state_a,-0.060775475
sample_001,66,surface_state_a,0.22284341
sample_001,67,surface_state_a,0.22284341
sample_001,68,surface_state_a,-0.060775475
sample_001,69,surface_state_a,-0.34439436
sample_002,0,surface_state_a,0.80530358
sample_002,1,surface_state_a,1.4247679
sample_002,2,surface_state_a,1.2182798
sample_002,3,surface_state_a,1.8377441
sample_002,4,surface_state_a,1.4247679
sample_002,5,surface_state_a,0.59881549
sample_002,6,surface_state_a,-0.64011309
sample_002,7,surface_state_a,-0.84660118
sample_002,8,surface_state_a,-0.84660118
sample_002,9,surface_state_a,-0.43362499
sample_002,10,surface_state_a,-0.43362499
sample_002,11,surface_state_a,-1.2595774
sample_002,12,surface_state_a,-1.8790417
sample_002,13,surface_state_a,-2.2920185
sample_002,14,surface_state_a,-2.0855298
sample_002,15,surface_state_a,-1.0530893
sample_002,16,surface_state_a,-0.64011309
sample_002,17,surface_state_a,-0.84660118
sample_002,18,surface_state_a,-0.84660118
sample_002,19,surface_state_a,-0.2271369
sample_002,20,surface_state_a,0.39232739
sample_002,21,surface_state_a,0.80530358
sample_002,22,surface_state_a,0.39232739
sample_002,23,surface_state_a,0.18583929
sample_002,24,surface_state_a,-0.020648801
sample_002,25,surface_state_a,-0.020648801
sample_002,26,surface_state_a,0.18583929
sample_002,27,surface_state_a,0.39232739
sample_002,28,surface_state_a,0.39232739
sample_002,29,surface_state_a,-0.020648801
sample_002,30,surface_state_a,-0.020648801
sample_002,31,surface_state_a,-0.020648801
sample_002,32,surface_state_a,-0.020648801
sample_002,33,surface_state_a,0.39232739
sample_002,34,surface_state_a,0.39232739
sample_002,35,surface_state_a,0.39232739
sample_002,36,surface_state_a,0.59881549
sample_002,37,surface_state_a,0.80530358
sample_002,38,surface_state_a,0.59881549
sample_002,39,surface_state_a,0.59881549
sample_002,40,surface_state_a,0.18583929
sample_002,41,surface_state_a,-0.020648801
sample_002,42,surface_state_a,0.18583929
sample_002,43,surface_state_a,1.8377441
sample_002,44,surface_state_a,2.4572084
sample_002,45,surface_state_a,1.4247679
sample_002,46,surface_state_a,0.39232739
sample_002,47,surface_state_a,-1.2595774
sample_002,48,surface_state_a,-1.2595774
sample_002,49,surface_state_a,-0.43362499
sample_002,50,surface_state_a,0.18583929
sample_002,51,surface_state_a,-0.2271369
sample_002,52,surface_state_a,-1.2595774
sample_002,53,surface_state_a,-2.0855298
sample_002,54,surface_state_a,-2.0855298
sample_002,55,surface_state_a,-1.8790417
sample_002,56,surface_state_a,-1.0530893
sample_002,57,surface_state_a,-0.43362499
sample_002,58,surface_state_a,-0.2271369
sample_002,59,surface_state_a,-0.2271369
sample_002,60,surface_state_a,-0.020648801
sample_002,61,surface_state_a,0.39232739
sample_002,62,surface_state_a,1.0117917
sample_002,63,surface_state_a,1.0117917
sample_002,64,surface_state_a,1.0117917
sample_002,65,surface_state_a,1.0117917
sample_002,66,surface_state_a,0.59881549
sample_002,67,surface_state_a,0.59881549
sample_002,68,surface_state_a,0.39232739
sample_002,69,surface_state_a,0.39232739
sample_003,0,surface_state_a,-0.33813431
sample_003,1,surface_state_a,0.015140342
sample_003,2,surface_state_a,1.0749643
sample_003,3,surface_state_a,1.7815136
sample_003,4,surface_state_a,1.0749643
sample_003,5,surface_state_a,0.015140342
sample_003,6,surface_state_a,-1.0446836
sample_003,7,surface_state_a,-2.1045075
sample_003,8,surface_state_a,-1.3979582
sample_003,9,surface_state_a,-0.33813431
sample_003,10,surface_state_a,1.0749643
sample_003,11,surface_state_a,0.36841499
sample_003,12,surface_state_a,-0.69140895
sample_003,13,surface_state_a,-1.7512329
sample_003,14,surface_state_a,-1.7512329
sample_003,15,surface_state_a,-1.0446836
sample_003,16,surface_state_a,-0.33813431
sample_003,17,surface_state_a,-0.33813431
sample_003,18,surface_state_a,0.36841499
sample_003,19,surface_state_a,0.36841499
sample_003,20,surface_state_a,0.72168964
sample_003,21,surface_state_a,1.0749643
sample_003,22,surface_state_a,0.72168964
sample_003,23,surface_state_a,1.4282389
sample_003,24,surface_state_a,1.0749643
sample_003,25,surface_state_a,1.0749643
sample_003,26,surface_state_a,0.72168964
sample_003,27,surface_state_a,0.72168964
sample_003,28,surface_state_a,0.36841499
sample_003,29,surface_state_a,0.36841499
sample_003,30,surface_state_a,0.36841499
sample_003,31,surface_state_a,0.015140342
sample_003,32,surface_state_a,0.015140342
sample_003,33,surface_state_a,-0.33813431
sample_003,34,surface_state_a,-0.33813431
sample_003,35,surface_state_a,-0.33813431
sample_003,36,surface_state_a,0.015140342
sample_003,37,surface_state_a,-0.33813431
sample_003,38,surface_state_a,-0.33813431
sample_003,39,surface_state_a,0.36841499
sample_003,40,surface_state_a,0.72168964
sample_003,41,surface_state_a,1.0749643
sample_003,42,surface_state_a,1.0749643
sample_003,43,surface_state_a,-1.0446836
sample_003,44,surface_state_a,-1.0446836
sample_003,45,surface_state_a,0.015140342
sample_003,46,surface_state_a,0.36841499
sample_003,47,surface_state_a,0.72168964
sample_003,48,surface_state_a,-0.33813431
sample_003,49,surface_state_a,-2.1045075
sample_003,50,surface_state_a,-1.7512329
sample_003,51,surface_state_a,-1.7512329
sample_003,52,surface_state_a,-2.4577822
sample_003,53,surface_state_a,-2.1045075
sample_003,54,surface_state_a,-0.69140895
sample_003,55,surface_state_a,0.72168964
sample_003,56,surface_state_a,1.7815136
sample_003,57,surface_state_a,2.1347882
sample_003,58,surface_state_a,1.0749643
sample_003,59,surface_state_a,0.015140342
sample_003,60,surface_state_a,-0.33813431
sample_003,61,surface_state_a,-0.33813431
sample_003,62,surface_state_a,0.015140342
sample_003,63,surface_state_a,0.015140342
sample_003,64,surface_state_a,0.36841499
sample_003,65,surface_state_a,0.36841499
sample_003,66,surface_state_a,0.36841499
sample_003,67,surface_state_a,0.36841499
sample_003,68,surface_state_a,0.36841499
sample_003,69,surface_state_a,0.015140342
sample_004,0,surface_state_a,1.0807305
sample_004,1,surface_state_a,0.027093522
sample_004,2,surface_state_a,-0.18363387
sample_004,3,surface_state_a,1.5021853
sample_004,4,surface_state_a,2.7665497
sample_004,5,surface_state_a,1.0807305
sample_004,6,surface_state_a,-0.18363387
sample_004,7,surface_state_a,-1.0265435
sample_004,8,surface_state_a,-1.2372708
sample_004,9,surface_state_a,-0.60508866
sample_004,10,surface_state_a,0.23782092
sample_004,11,surface_state_a,-0.39436127
sample_004,12,surface_state_a,-1.4479982
