sample_id,time,label,wafer_signal
sample_001,0,fault_pattern,-1.418664
sample_001,1,fault_pattern,-1.6776864
sample_001,2,fault_pattern,-1.5815243
sample_001,3,fault_pattern,-0.96104332
sample_001,4,fault_pattern,-0.42846968
sample_001,5,fault_pattern,0.9677562
sample_001,6,fault_pattern,1.4725313
sample_001,7,fault_pattern,1.7335853
sample_001,8,fault_pattern,1.7175427
sample_001,9,fault_pattern,1.8251855
sample_001,10,fault_pattern,1.8517516
sample_001,11,fault_pattern,1.9340076
sample_001,12,fault_pattern,1.9455118
sample_001,13,fault_pattern,1.9637996
sample_001,14,fault_pattern,1.9523364
sample_001,15,fault_pattern,1.9405361
sample_001,16,fault_pattern,1.9557533
sample_001,17,fault_pattern,1.9346873
sample_001,18,fault_pattern,1.9643582
sample_001,19,fault_pattern,1.9320012
sample_001,20,fault_pattern,1.9893537
sample_001,21,fault_pattern,1.8888529
sample_001,22,fault_pattern,2.0674975
sample_001,23,fault_pattern,0.92450557
sample_001,24,fault_pattern,-1.5261023
sample_001,25,fault_pattern,-1.4946872
sample_001,26,fault_pattern,-1.602616
sample_001,27,fault_pattern,-1.5703921
sample_001,28,fault_pattern,-1.6095415
sample_001,29,fault_pattern,-1.5977965
sample_001,30,fault_pattern,-0.99654199
sample_001,31,fault_pattern,-0.33066877
sample_001,32,fault_pattern,0.12298564
sample_001,33,fault_pattern,0.23617971
sample_001,34,fault_pattern,0.28674563
sample_001,35,fault_pattern,0.32405078
sample_001,36,fault_pattern,0.38996287
sample_001,37,fault_pattern,0.4407437
sample_001,38,fault_pattern,0.4463467
sample_001,39,fault_pattern,0.44569363
sample_001,40,fault_pattern,0.44387518
sample_001,41,fault_pattern,0.44867425
sample_001,42,fault_pattern,0.45010036
sample_001,43,fault_pattern,0.45357078
sample_001,44,fault_pattern,0.45030593
sample_001,45,fault_pattern,0.4474719
sample_001,46,fault_pattern,0.44804783
sample_001,47,fault_pattern,0.44762491
sample_001,48,fault_pattern,0.44785344
sample_001,49,fault_pattern,0.4475581
sample_001,50,fault_pattern,0.44820244
sample_001,51,fault_pattern,0.44701699
sample_001,52,fault_pattern,0.4511419
sample_001,53,fault_pattern,0.448385
sample_001,54,fault_pattern,0.44799704
sample_001,55,fault_pattern,0.44487365
sample_001,56,fault_pattern,0.44667813
sample_001,57,fault_pattern,0.44824867
sample_001,58,fault_pattern,0.4474183
sample_001,59,fault_pattern,0.44794021
sample_001,60,fault_pattern,0.4478061
sample_001,61,fault_pattern,0.44757087
sample_001,62,fault_pattern,0.44799602
sample_001,63,fault_pattern,0.44334171
sample_001,64,fault_pattern,0.4448566
sample_001,65,fault_pattern,0.4483145
sample_001,66,fault_pattern,0.4440644
sample_001,67,fault_pattern,0.4426963
sample_001,68,fault_pattern,0.44583536
sample_001,69,fault_pattern,0.44816587
sample_001,70,fault_pattern,0.44780734
sample_001,71,fault_pattern,0.44739167
sample_001,72,fault_pattern,0.44844306
sample_001,73,fault_pattern,0.45041671
sample_001,74,fault_pattern,0.45005737
sample_001,75,fault_pattern,0.44934343
sample_001,76,fault_pattern,0.45174816
sample_001,77,fault_pattern,0.4508211
sample_001,78,fault_pattern,0.44936977
sample_001,79,fault_pattern,0.45341695
sample_001,80,fault_pattern,0.45142696
sample_001,81,fault_pattern,0.45298967
sample_001,82,fault_pattern,0.44842156
sample_001,83,fault_pattern,0.44848341
sample_001,84,fault_pattern,0.45261718
sample_001,85,fault_pattern,0.45189289
sample_001,86,fault_pattern,0.4526295
sample_001,87,fault_pattern,0.45190987
sample_001,88,fault_pattern,0.45248978
sample_001,89,fault_pattern,0.45162912
sample_001,90,fault_pattern,0.44895266
sample_001,91,fault_pattern,0.45266357
sample_001,92,fault_pattern,0.45191919
sample_001,93,fault_pattern,0.45269057
sample_001,94,fault_pattern,0.45039536
sample_001,95,fault_pattern,0.44897379
sample_001,96,fault_pattern,0.44612457
sample_001,97,fault_pattern,0.4574049
sample_001,98,fault_pattern,0.43922516
sample_001,99,fault_pattern,0.47156285
sample_001,100,fault_pattern,0.42390145
sample_001,101,fault_pattern,0.4974008
sample_001,102,fault_pattern,0.37961861
sample_001,103,fault_pattern,0.59377508
sample_001,104,fault_pattern,-0.22790593
sample_001,105,fault_pattern,-1.1538257
sample_001,106,fault_pattern,-0.95768031
